Mass,Beg,Species,Mins,Call_Total
9.637522248,0,Cuckoo,13,0
10.22915078,0,Cuckoo,16,0
13.10370582,0,Cuckoo,11,0
15.2173913,0,Cuckoo,9,0
16.23188406,0,Cuckoo,9,0
20.12077295,0,Cuckoo,6,0
24.60129036,0,Cuckoo,8,0
27.13768116,0,Cuckoo,5,0
31.70289855,0,Cuckoo,2,0
22.33918129,29,Cuckoo,5,145
23.52275617,29,Cuckoo,13,377
24.20814264,42,Cuckoo,6,252
26.82319476,34,Cuckoo,9,306
26.22791126,29,Cuckoo,13,377
33.26325324,55,Cuckoo,16,880
39.59922451,48,Cuckoo,4,192
37.39750191,43,Cuckoo,4,473
4.987922705,0,Warbler,8,0
6.172133232,1,Warbler,9,9
6.004004577,2,Warbler,8,16
7.439454615,0,Warbler,7,0
7.777618866,0,Warbler,7,0
9.55345792,0,Warbler,7,0
7.441838291,3,Warbler,9,27
9.471141622,4,Warbler,9,36
8.796878973,7,Warbler,13,91
10.65582888,5,Warbler,17,85
10.74132342,7,Warbler,10,70
9.982201882,9,Warbler,8,72
8.884121536,10,Warbler,8,80
10.662821,15,Warbler,11,165
11.08298373,12,Warbler,16,192
12.52129418,13,Warbler,7,91
11.08409611,13,Warbler,7,91
16.23251971,1,Warbler,5,5
19.11279558,9,Warbler,10,90
20.54967582,9,Warbler,8,72
21.98401348,5,Warbler,7,35
25.28302187,7,Warbler,10,70
26.38857107,17,Warbler,5,85
27.23445843,17,Warbler,11,187
25.46259217,22,Warbler,14,308
22.50047674,18,Warbler,11,198
31.80936944,31,Warbler,9,279
31.81222985,35,Warbler,5,175
31.56194381,40,Warbler,13,520
29.87414188,44,Warbler,7,308
38.31283371,22,Warbler,6,132
38.3234808,37,Warbler,12,444
36.46993389,46,Warbler,13,598
39.60287948,53,Warbler,11,583
