type,longevity,thorax,sleep
Inseminated,35,0.64,22
Inseminated,37,0.68,9
Inseminated,49,0.68,49
Inseminated,46,0.72,1
Inseminated,63,0.72,23
Inseminated,39,0.76,83
Inseminated,46,0.76,23
Inseminated,56,0.76,15
Inseminated,63,0.76,9
Inseminated,65,0.76,81
Inseminated,56,0.8,12
Inseminated,65,0.8,15
Inseminated,70,0.8,37
Inseminated,63,0.84,24
Inseminated,65,0.84,26
Inseminated,70,0.84,17
Inseminated,77,0.84,14
Inseminated,81,0.84,14
Inseminated,86,0.84,6
Inseminated,70,0.88,25
Inseminated,70,0.88,18
Inseminated,77,0.92,26
Inseminated,77,0.92,24
Inseminated,81,0.92,29
Inseminated,77,0.94,27
Control,40,0.64,18
Control,37,0.7,6
Control,44,0.72,19
Control,47,0.72,7
Control,47,0.72,16
Control,47,0.76,13
Control,68,0.78,35
Control,47,0.8,2
Control,54,0.84,35
Control,61,0.84,6
Control,71,0.84,15
Control,75,0.84,14
Control,89,0.84,18
Control,58,0.88,50
Control,59,0.88,25
Control,62,0.88,10
Control,79,0.88,33
Control,96,0.88,43
Control,58,0.92,35
Control,62,0.92,17
Control,70,0.92,27
Control,72,0.92,22
Control,75,0.92,16
Control,96,0.92,20
Control,75,0.94,37
Inseminated,46,0.64,23
Inseminated,42,0.68,4
Inseminated,65,0.72,20
Inseminated,46,0.76,42
Inseminated,58,0.76,9
Inseminated,42,0.8,32
Inseminated,48,0.8,66
Inseminated,58,0.8,28
Inseminated,50,0.82,10
Inseminated,80,0.82,4
Inseminated,63,0.84,12
Inseminated,65,0.84,17
Inseminated,70,0.84,12
Inseminated,70,0.84,23
Inseminated,72,0.84,40
Inseminated,97,0.84,18
Inseminated,46,0.88,10
Inseminated,56,0.88,38
Inseminated,70,0.88,7
Inseminated,70,0.88,23
Inseminated,72,0.88,36
Inseminated,76,0.88,9
Inseminated,90,0.88,21
Inseminated,76,0.92,62
Inseminated,92,0.92,36
Virgin,21,0.68,23
Virgin,40,0.68,62
Virgin,44,0.72,28
Virgin,54,0.76,18
Virgin,36,0.78,10
Virgin,40,0.8,28
Virgin,56,0.8,22
Virgin,60,0.8,29
Virgin,48,0.84,15
Virgin,53,0.84,73
Virgin,60,0.84,10
Virgin,60,0.84,5
Virgin,65,0.84,13
Virgin,68,0.84,27
Virgin,60,0.88,20
Virgin,81,0.88,21
Virgin,81,0.88,12
Virgin,48,0.9,49
Virgin,48,0.9,17
Virgin,56,0.9,22
Virgin,68,0.9,71
Virgin,75,0.9,17
Virgin,81,0.9,10
Virgin,48,0.92,24
Virgin,68,0.92,18
Virgin,16,0.64,34
Virgin,19,0.64,6
Virgin,19,0.68,4
Virgin,32,0.72,22
Virgin,33,0.72,28
Virgin,33,0.74,31
Virgin,30,0.76,16
Virgin,42,0.76,27
Virgin,42,0.76,8
Virgin,33,0.78,32
Virgin,26,0.8,20
Virgin,30,0.8,35
Virgin,40,0.82,12
Virgin,54,0.82,14
Virgin,34,0.84,17
Virgin,34,0.84,29
Virgin,47,0.84,31
Virgin,47,0.84,6
Virgin,42,0.88,30
Virgin,47,0.88,27
Virgin,54,0.88,40
Virgin,54,0.88,19
Virgin,56,0.88,8
Virgin,60,0.88,8
Virgin,44,0.92,15
